carat,clarity,color,cut,x_dimension,y_dimension,z_dimension,depth,table,price
0.5, if, d, ideal,5.1,5.15,3.2,61.5,56.0,3000.0
0.7, vvs2, e, premium,5.7,5.49,3.52,62.0,59.0,4500.0
0.5, si2, h, good,4.3,4.31,3.9,62.3,56.0,700.0
1.2, if, d, ideal,5.9,6.82,4.2,61.7,58.0,10000.0
0.9, i1, j, fair,6.0,5.49,3.7,61.7,56.0,2400.0
0.5, si1, g, very good,5.9,5.92,3.63,62.1,57.0,4200.0
0.5, if, d, ideal,5.1,5.49,3.2,61.5,57.0,3100.0
0.4, vvs1, f, good,4.8,4.79,2.95,62.1,56.0,1500.0
0.5, si2, i, good,4.3,4.32,3.9,62.3,56.0,2600.0
1.0, vvs1, f, ideal,6.4,5.49,4.0,62.1,58.0,7500.0
0.5, si1, colorless, premium,5.9,5.21,3.21,61.6,58.0,2600.0
0.4, vvs2, g, very good,4.9,4.88,3.9,61.2,56.0,1400.0
0.5, si2, j, fair,5.7,5.71,3.54,62.1,54.0,2000.0
1.1, vvs1, e, premium,6.6,5.49,4.08,62.1,57.0,9200.0
0.55, si2, h, good,5.3,5.29,3.9,62.0,56.0,1800.0
0.5, vvs2, i, good,4.4,4.39,2.69,61.3,57.0,2600.0
0.5, si1, g, very good,5.2,5.49,3.2,62.1,56.0,2300.0
1.0, if, d, ideal,6.5,6.49,3.9,61.7,58.0,2600.0
0.6, si2, h, good,5.5,5.52,3.9,62.1,57.0,2200.0
0.7, i1, j, fair,5.9,5.79,3.57,61.6,56.0,2100.0
0.5, vvs1, f, ideal,6.1,6.15,3.9,61.8,57.0,6000.0
1.3, si1, g, premium,6.9,5.49,4.3,63.0,60.0,10500.0
1.4, if, d, good,7.1,7.12,3.9,62.4,59.0,11000.0
0.5, vvs2, e, good,4.6,4.58,2.85,62.1,56.0,800.0
1.6, i1, i, fair,7.3,7.28,4.5,62.1,54.0,3400.0
0.2, si1, h, very good,3.9,3.89,2.41,62.1,56.0,500.0
0.35, if, g, ideal,4.5,4.52,3.9,61.9,56.0,1300.0
0.5, vvs2, g, good,4.6,5.49,2.83,62.2,57.0,1600.0
0.55, i1, j, premium,5.4,5.42,3.35,62.1,56.0,2500.0
0.5, vvs1, d, ideal,6.7,6.71,4.15,62.1,58.0,7700.0
0.65, si2, colorless, very good,5.6,5.49,3.47,62.3,58.0,2900.0
1.5, vvs2, f, good,7.2,7.18,3.9,62.7,59.0,10800.0
0.9, si2, h, fair,6.1,6.12,3.78,62.4,56.0,2600.0
0.5, vvs1, e, premium,6.9,5.49,4.27,62.2,57.0,9300.0
0.45, si2, i, good,4.9,4.91,3.9,62.1,56.0,1700.0
0.6, vvs2, g, good,5.5,5.49,3.9,62.1,58.0,2800.0
0.5, si1, f, very good,5.3,5.31,3.3,62.0,57.0,2700.0
0.95, if, d, ideal,6.3,5.49,3.9,62.6,58.0,9400.0
1.05, si2, j, good,6.6,6.58,3.9,62.7,56.0,8500.0
0.5, i1, g, fair,5.9,5.49,3.65,61.9,55.0,2200.0
0.45, si2, h, ideal,4.8,4.82,3.01,62.1,56.0,1500.0
0.5, if, f, premium,6.2,5.49,3.84,61.9,58.0,5900.0
0.85, vvs1, i, good,5.8,5.82,3.9,62.2,55.0,4800.0
0.95, vvs2, d, good,6.3,6.31,3.91,62.4,56.0,7300.0
0.5, si1, e, fair,6.0,6.01,3.9,62.1,54.0,2700.0
